Case_Year,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2016,01/01/2016 12:08:00 AM,Queens,50,08,107,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/01/2016 12:13:00 AM,Staten Island,21,02,122,PD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 12:21:00 AM,Queens,37,05,104,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 12:29:00 AM,Bronx,15,12,047,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/01/2016 12:32:00 AM,Queens,50,12,103,PD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 12:46:00 AM,Manhattan,09,04,014,MD Residential Structure,Candle,Open Flame
2016,01/01/2016 01:24:00 AM,Brooklyn,32,02,076,PD Residential Structure,Other - Open Flame,Open Flame
2016,01/01/2016 01:46:00 AM,Queens,46,04,110,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/01/2016 02:52:00 AM,Manhattan,16,10,032,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 03:45:00 AM,Brooklyn,28,04,083,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/01/2016 05:31:00 AM,Manhattan,09,04,018,MD Residential Structure,Candle,Open Flame
2016,01/01/2016 08:00:00 AM,Queens,46,04,110,Other,Other - No Fire,No Fire
2016,01/01/2016 09:52:00 AM,Manhattan,01,02,005,MD Residential Structure,Computer Component(s),Electrical Devices
2016,01/01/2016 11:50:00 AM,Bronx,15,07,052,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/01/2016 01:21:00 PM,Bronx,03,02,041,Other,Food on the Stove,Cooking Carelessness
2016,01/01/2016 01:48:00 PM,Bronx,20,11,049,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/01/2016 02:27:00 PM,Brooklyn,57,03,079,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/01/2016 02:27:00 PM,Brooklyn,57,03,079,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/01/2016 04:27:00 PM,Queens,49,01,114,Outside Rubbish,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 04:38:00 PM,Queens,46,06,112,MD Residential Structure,Incendiary,Incendiary
2016,01/01/2016 05:51:00 PM,Bronx,03,09,043,MD Residential Structure,Incendiary,Incendiary
2016,01/01/2016 06:17:00 PM,Manhattan,10,08,019,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/01/2016 06:30:00 PM,Brooklyn,57,03,079,Outside Rubbish,Incendiary,Incendiary
2016,01/01/2016 07:18:00 PM,Manhattan,10,08,019,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/01/2016 07:51:00 PM,Bronx,14,01,040,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 08:10:00 PM,Brooklyn,58,18,069,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/01/2016 09:00:00 PM,Queens,50,12,113,PD Residential Structure,Preliminary Investigation Only,Other
2016,01/01/2016 09:38:00 PM,Brooklyn,43,13,060,PD Residential Structure,Preliminary Investigation Only,Other
2016,01/01/2016 10:25:00 PM,Brooklyn,43,11,062,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/01/2016 11:30:00 PM,Brooklyn,48,11,048,Commercial Structure,Electrical Wiring,Electrical
2016,01/01/2016 11:55:00 PM,Brooklyn,39,05,075,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/02/2016 04:19:00 AM,Brooklyn,44,16,073,Other,Other - No Fire,No Fire
2016,01/02/2016 04:19:00 AM,Brooklyn,44,16,073,MD Residential Structure,Other - No Fire,No Fire
2016,01/02/2016 06:07:00 AM,Bronx,14,01,040,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/02/2016 06:23:00 AM,Manhattan,06,03,009,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/02/2016 07:09:00 AM,Manhattan,04,03,009,MD Residential Structure,Incendiary,Incendiary
2016,01/02/2016 09:54:00 AM,Bronx,27,08,050,Group Home,Incendiary,Incendiary
2016,01/02/2016 10:06:00 AM,Bronx,27,08,050,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/02/2016 11:30:00 AM,Queens,45,02,108,MD Residential Structure,Electrical Wiring,Electrical
2016,01/02/2016 11:56:00 AM,Brooklyn,39,05,075,PD Residential Structure,Electrical Wiring,Electrical
2016,01/02/2016 12:05:00 PM,Manhattan,13,09,030,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/02/2016 02:08:00 PM,Manhattan,08,06,017,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/02/2016 02:13:00 PM,Queens,47,14,101,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
2016,01/02/2016 04:01:00 PM,Brooklyn,31,08,078,MD Residential Structure,Cooking Fire Extending to Clothing or Combustibles,Cooking Carelessness
2016,01/02/2016 04:01:00 PM,Brooklyn,31,08,078,Burn Notification (Albany),Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/02/2016 05:13:00 PM,Brooklyn,32,06,076,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/02/2016 06:08:00 PM,Brooklyn,58,18,069,Vehicle,Incendiary - Combustible Material,Incendiary
2016,01/02/2016 06:48:00 PM,Bronx,03,09,043,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/02/2016 07:03:00 PM,Manhattan,09,04,018,Commercial Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/02/2016 07:51:00 PM,Queens,50,12,103,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/02/2016 09:01:00 PM,Brooklyn,58,18,063,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/02/2016 09:57:00 PM,Brooklyn,51,05,075,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,02/27/2017 04:49:00 PM,Staten Island,21,01,120,Other,Other - No Fire,No Fire
2016,01/02/2016 10:43:00 PM,Brooklyn,43,13,062,Vehicle,Incendiary - Ignitable Liquid,Incendiary
2016,01/02/2016 11:36:00 PM,Queens,54,13,105,PD Residential Structure,Fireplace,Open Flame
2016,01/02/2016 11:42:00 PM,Brooklyn,42,10,068,Vehicle,Vehicle Wiring,Electrical
2016,01/03/2016 02:18:00 AM,Manhattan,01,03,005,MD Residential Structure,Extension Cord,Electrical
2016,01/03/2016 02:41:00 AM,Bronx,15,12,047,MD Residential Structure,Electrical Wiring,Electrical
2016,01/03/2016 02:41:00 AM,Bronx,15,12,047,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/03/2016 02:41:00 AM,Bronx,15,12,047,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
