Incident_DateTime,Borough,Battalion,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
01/01/2016 12:08:00 AM,Queens,50,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/01/2016 12:13:00 AM,Staten Island,21,PD Residential Structure,Incendiary - Combustible Material,Incendiary
01/01/2016 12:21:00 AM,Queens,37,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/01/2016 12:29:00 AM,Bronx,15,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/01/2016 12:32:00 AM,Queens,50,PD Residential Structure,Incendiary - Combustible Material,Incendiary
01/01/2016 12:46:00 AM,Manhattan,09,MD Residential Structure,Candle,Open Flame
01/01/2016 01:24:00 AM,Brooklyn,32,PD Residential Structure,Other - Open Flame,Open Flame
01/01/2016 01:46:00 AM,Queens,46,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/01/2016 02:52:00 AM,Manhattan,16,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/01/2016 03:45:00 AM,Brooklyn,28,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/01/2016 05:31:00 AM,Manhattan,09,MD Residential Structure,Candle,Open Flame
01/01/2016 08:00:00 AM,Queens,46,Other,Other - No Fire,No Fire
01/01/2016 09:52:00 AM,Manhattan,01,MD Residential Structure,Computer Component(s),Electrical Devices
01/01/2016 11:50:00 AM,Bronx,15,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/01/2016 01:21:00 PM,Bronx,03,Other,Food on the Stove,Cooking Carelessness
01/01/2016 01:48:00 PM,Bronx,20,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/01/2016 02:27:00 PM,Brooklyn,57,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/01/2016 04:27:00 PM,Queens,49,Outside Rubbish,Incendiary - Combustible Material,Incendiary
01/01/2016 04:38:00 PM,Queens,46,MD Residential Structure,Incendiary,Incendiary
01/01/2016 05:51:00 PM,Bronx,03,MD Residential Structure,Incendiary,Incendiary
